title,salary,company,posted,district,job_description,Career Level,Years of Experience,Company Website,Qualification,Job Type,Job Functions,url
Data Analyst,"HK$30,000 - HK$70,000 /month",Manpower Services (Hong Kong) Limited,2022-11-30,Others,"Our client is seeking an Data Analyst in their team.

Responsibilities:
Collect user requirements and provide appropriate solutions
Develop analytics reports and visualization dashboard
Develop and support analytics data model and conduct data asset management
Conduct the system implementation, configuration and deployment
Perform Unit Testing, System Integration Test, and involve in User Acceptance Test

Requirements:
University graduate in in Data Science, Data Analysis, Information Technology or related discipline
4 years or above in Data Analytics related areas
Hands-on experience in Tableau/Power BI/ Other visualization tools (Tableau is an advantage)
Experience in SAS, Python, R
Experienced in managing and developing data integration, ETL with data warehouse is preferred
Experience in IBM DataStage, DB2, Oracle, MySQL AND NoSQL DB (e.g. MongoDB, HBase) is plus
Strong communication skills is a must
Able to work as a team or individually
Good writing skills (both Chinese & English)",Entry Level,4 years,http://www.manpowergroupgrc.hk,(N/A),Contract,"Information Technology (IT), Application Specialist - Network, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009900326?jobId=jobsdb-hk-job-100003009900326&sectionRank=97&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Data Team Head (Data Governance) (Banking /Insurance) (90-100K),salary,Manpower Services (Hong Kong) Limited,2022-12-02,Aberdeen,"My client, a FSI  is now looking for a Data Team Head to join their team.  Responsibilities:  
Responsible for the overall data management strategy and metadata management;
Understand the data models and work processes in different business domains to identify their interactions, and formulate a strategy for data aggregation and achieving data consistency and accuracy;
Establish the infrastructure for a scalable data mart / warehouse / platform and data visualisation, and propose solutions
Formulate the data governance framework including the practices for data processing, monitoring data flow and ensuring data quality;
Serve as the leading technical expert for innovative data projects; and
Communicate with different business units on the data strategy and promote good data culture within the organisation.
 Requirements:
University degree preferably in Computer Science, Information Technology, Engineering, Mathematics, or related disciplines;
A minimum of 10 years' solid experience in data analytics, data application / platform management, master data management, information delivery, with at least 5 years’ management role;
Solid track record of IT sizable project experience in data warehouse, data analytics, ETL (extract, transform, load), business intelligence reporting, etc.;
Strong technical foundation and knowledge on cloud data platform implementation in the banking, finance and insurance industry is preferable;
Experience in data warehouse / data mart solution design and delivery using numerous relationship database technologies is preferable; 
Proficiency in both English and Chinese with good communication and presentation skills.
If you are interested in this position or any other related opportunities, please send your CV (Word format) to allen.poon@manpowergrc.hk for more information.",Senior,N/A,http://www.manpowergroupgrc.hk,(N/A),Full Time,"Information Technology (IT), IT Project Management / Team Lead, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-team-head-data-governance-banking-insurance-90-100k-100003009906493?jobId=jobsdb-hk-job-100003009906493&sectionRank=98&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Business Analyst,salary,TE Connectivity HK Limited,2022-11-29,district,"Job Description – Business Analyst – Demand Forecast
Position Overview:
The Business Analyst – Demand - reports into the Head of Demand Analytics and is responsible for the processing, mining and delivery of data to his/her customer community – mostly Regional Demand Analysts -through repositories, tools and services.
He/She may also partner with the DIA and TEIS Team on forecasting tools improvement projects – IBP, Machine learning and AI.
Key Qualifications, Experiences and Knowledge
       5+ years of Data Engineering experience in ETL design, development, optimization & testing using AWS tools, PL/SQL, Oracle, HANA, Redshift, Aurora etc
       3+ years of experience with AWS tools such as S3, EC2, Aurora, Redshift, RDS, Lambda Functions, ELB, VPC, Data Glue, Data Brew Auto Scaling configurations, IAM, CloudTrail, and CloudFront.
       5+ years of experience in relational and Cloud database design, optimization, and performance; preferably with AWS (S3 and Redshift), SAP HANA, BW, Oracle, and Hadoop
       Detail oriented with excellent time management and organizational skills to meet critical deadlines
       Advanced proficiency in SQL, ETL, data modelling, and working with “Big Data”.
        Experience in CRM tools, Salesforce is preferred.
       Good knowledge on any one of these data analytics tools: R, Python, Alteryx etc.
       Clear communicator who can summarize, write, speak and present confidently to a diverse audience, operating as an internal consultant and thought partner.
       Quick learner, capable of adapting to new systems and developing and continuously improving processes.
       Fluent in English",Middle,3 years,http://www.te.com,Degree,Full Time,"Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/business-analyst-100003009894822?jobId=jobsdb-hk-job-100003009894822&sectionRank=99&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Senior System Analyst / System Analyst,salary,樓上有限公司 / HK JEBN LIMITED,2022-12-02,Tsing Yi,"（Stream A：Computer Science／3-5year system development）
（Stream B：Data Science／3-year system development）
（Stream C：IT R&D Squad／Experience in managing SSIS）

Main Duties:
Responsible for In house program development, implementation, maintenance, documentation for windows and web platform;
Provide advice on complex programming tasks such as supply chain for stock replenishment on web platform, auto replenishment system for Warehouse (located in Tsing Yi) and Headquarter (located in Tai Wai) to optimize stock replenishment and warehouse management;
Define API or database interfaces specification between AS/RS systems;
Working closely with teammates to develop, support and rollout application systems;
Assist in internal user requirements collecting, analysis and system design;
Collaborate with internal user to deliver the service and enhance user experience;
Documentation on system workflow, operation processes and new functionalities;
Conducting unit-test for robustness, including edge cases, usability, and general reliability;
Work under an IT R&D Sub-Squad (located in Tsing Yi) to participate in different work efficiency enhancement IT projects.
Introduction of our success case - fully automated Logistics Centre (Tsing Yi)：click me

Requirements:
Higher Diploma or above in Computer Science or related disciplines;
Minimum 3-5 year relevant experience in system development;
Strong knowledge in C#, .Net Framework, .Net Core, MSSQL for modern customer-facing web / mobile applications development;
Knowledge in React.js, Node.js, Angular, Bootstrap, RESTful APIs integration will be an added advantage;
Experience in managing SSIS, understanding on Oracle / MySQL will be an added advantage;
Able to work under pressure and deliver on schedule;
Self-motivated and keen on learning;
Strong team player, communicator, disciplinary and punctual;
Candidate with less experience will be considered as System Analyst.
Keywords:
C#, .Net, Angular, JavaScript, JSON, React, Node, REST, SQL

We offer 5-day work, Free lunch, Monthly incentive, 12 days annual leave, Birthday leave, 10 days paternity leave, Employee purchase discount, Medical insurance and Annual body check to the above position.
 
Interested parties please send Full resume to HK JEBN LIMITED, including the following details:
 
1)       Availability
2)       Expected salary
3)       Present salary
 
*HK JEBN Group policies on non-recruitment of smokers or other tobacco users.
 
All personal data collected will be treated in strict confidential and be used for recruitment purpose solely.",Middle,3 years,,Degree,"Full Time, Permanent","Information Technology (IT), Software Development, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-system-analyst-system-analyst-100003009903222?jobId=jobsdb-hk-job-100003009903222&sectionRank=100&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Data Analyst,"HK$30,000 - HK$45,000 /month",Ambition,2022-11-30,district,"My client is a global IT consultancy firm with strong business across APAC. They are undergoing an unprecedented expansion and looking for a high-calibre candidate to join them as a Data Analyst.

Job Responsibilities
Provide data analysis and insights to support business planning, including preparation of data to assist preparation of annual budgets and forecasts
Continuously seek to improve quality of reports, accuracy of data and data integrity
Compile regular management reports
Analysis models and automation of processes. Develop and initiate measurable improvements to work processes
Work closely with Data Architect to design data-related offerings to clients
Requirements
Bachelor degree or above in Information Technology, Statistics, Mathematics or relevant
2-4 years of experience in Data Visualization and Data Analytics in any industry
Hands-on experience on Data Visualization tools, e.g. PowerBI, Tableau
Fluent in spoken and written English and Chinese
Excellent communication skills in both Cantonese and English
If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer HKD1000 in Apple gift cards for every referred candidate who we place in a role. Terms & Conditions Apply.
If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer HKD1000 in Apple gift cards for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.hk/refer-a-friend",Entry Level,N/A,http://www.ambition.com.hk,Degree,"Full Time, Permanent","Information Technology (IT), IT Management, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009900118?jobId=jobsdb-hk-job-100003009900118&sectionRank=101&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Solution Engineer - Data Centre Virtualization & Data Security Solutions (Welcome Fresh Graduates),salary,Macroview Telecom Limited,2022-12-01,Quarry Bay,"Description
Develop technical skill and product knowledge (on job training will be provided)
Participate in presentation, demonstration, documentation and tender bidding on Security and Datacenter solutions
Provide technical consultancy for market leading ICT products including cyber security, datacenter virtualization, automation, orchestration etc.
Develop soft skill to respond to customer’s request and monitor the project progress
Requirements
Degree or Higher Diploma holders in Computer Science, Engineering, Information System or related disciplines
Good command of both written and spoken English
Good interpersonal and problem-solving skills
Able to work independently
A quick learner to explore new technologies and solutions
A good team player with good communication skills

We offer attractive remuneration package, medical benefits and marriage leave to the right candidate. Interested parties please send full resume with expected salary by clicking ""Apply Now"".

All information collected will be used for recruitment purpose only.

To learn more, please visit Macroview’s website at: www.macroview.com",Middle,,,Degree,"Full Time, Permanent","Information Technology (IT), Software Development, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/solution-engineer-data-centre-virtualization-data-security-solutions-welcome-fresh-graduates-100003009900879?jobId=jobsdb-hk-job-100003009900879&sectionRank=102&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Data Analyst - APAC eCom Team,salary,Infinitech Solutions Limited,2022-11-30,,"Our client is an international sportswear brand. They are now looking for a young and passionate eCom Data Analyst to analyze their ecom business performance and provide useful business insights and strategies.
Job Description
         Collecting and organise data such as business results, Sales, Assortment, Prices, Sales velocity, Broken sizes reports, Best sellers, Inventory levels, Planning, Google Analytics, Marketing channels, Website behaviours etc…
         Creating reports and presentations for business uses
         Collaborate with team members to collect and analyze data
         Use graphs, infographics and other methods to visualize data
         Establish KPIs to measure the effectiveness of business decisions
         Work with different teams across the company and other associates to process information
         Create presentations and reports based on recommendations and findings
         Correlating similar data to find actionable results
         Identify patterns in consumers behaviour that help in forecasting and business optimisation
Requirements
         Bachelor’s degree in Business Administration, Ecommerce or related discipline
         3-5 years of relevant experience in using digital business tools like Google Studio, Google Analytics, Shopify reporting tools, Tableau etc…
         Ability to communicate complex data in a simple, actionable way
         Ability to visualize data in the most effective way possible for a given project or study
         Analytical and problem-solving skills
         Ability to work independently and with team members from different backgrounds
         Excellent attention to detail
         Excellent in spreadsheet, figures manipulation, mathematical mindset
         Hyper logical and rational mindset
         Very good in simplifying information and building reporting decks & presentations",Middle,5 years,,Degree,"Full Time, Permanent","E-commerce, Product Management / Business Analyst, Others, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-apac-ecom-team-100003009899420?jobId=jobsdb-hk-job-100003009899420&sectionRank=103&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Power BI Developer (ETL/MS SQL),salary,CL Technical Services Ltd.,2022-12-01,Central & Western Area,"Job Responsibilities
Design data pipeline and dashboard to support different reporting purpose from existing multiple data sources
Develop and maintain the data mapping and Glossary for the BI reporting, analysis and data modelling
Design a good knowledge management BI tool to contribute the planning & execution of data-insights
Provide data statistical support for scheme review on key statistical issues
Job Requirements
Degree holder in computer science
3 to 5 years of solid experience in ETL development and orchestration for building large scale analytical data pipelines
3 to 5 years of development experience using Power BI Desktop as well as row level security/workspace management using Power BI service
Solid experience in database solution development by MS SQL and Oracle including stored procedures
Development experience in Data-warehouse or Business Intelligence tools
Experience in Database and Windows Server Clustering ",,,http://www.clts.com,,Full Time,"Information Technology (IT), DBA, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/power-bi-developer-etl-ms-sql-100003009902948?jobId=jobsdb-hk-job-100003009902948&sectionRank=104&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Solution Consultant - Data Centre Virtualization & Data Security Solutions,salary,Macroview Telecom Limited,2022-12-01,Quarry Bay,"Description
Develop technical skill and product knowledge (on job training will be provided)
Participate in presentation, demonstration, documentation and tender bidding on Security and Datacenter solutions
Provide technical consultancy for market leading ICT products including cyber security, datacenter virtualization, automation, orchestration etc.
Develop soft skill to respond to customer’s request and monitor the project progress
Requirements
Degree or Higher Diploma holders in Computer Science, Engineering, Information System or related disciplines
More than 3 years relevant working experience in related technologies
Knowledge in Network /Web /Email /APT /Data /Endpoint Security solution
Knowledge in Virtualization / Cloud Architecture / DevSecOps solution is an advantage
Sounds knowledge in Cloud (AWS/ Azure/ GCP/etc) is an advantage
Sounds knowledge in Microsoft 365 technologies is an advantage
A quick learner to explore new technologies and solutions
A good team player with good communication skills
Good command of both written and spoken English
Able to work independently",Senior,3 years,,Degree,"Full Time, Permanent","Information Technology (IT), Software Development, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/solution-consultant-data-centre-virtualization-data-security-solutions-100003009900881?jobId=jobsdb-hk-job-100003009900881&sectionRank=105&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Data Analyst,salary,BUPA Asia Limited,2022-11-30,Ngau Tau Kok,"Accountabilities
Responsible for data extraction, data cleaning, report / dashboard development, ad-hoc analysis and database management
Maintain and continually enhance routines in production ranging from daily/weekly/monthly data transformation or reporting, with a clear emphasis on the need to have fully automated routines when applicable
Carry out statistical analysis or simulations to identify, investigate or anticipate trends in areas such as healthcare service utilization, price and product, customer behaviour, etc.
Assist in the development of tools to support business functions such as benchmarking healthcare providers and agreed prices, monitoring conversion rates of campaigns, simulators for campaigns, etc.
Assist in communicating results of analysis to other team via reports/presentations and assist management in implementing programs that provide data-driven solutions
Assist in monitoring and evaluating ongoing initiatives’ effectiveness and impact (e.g. marketing campaigns)
Requirements
Degree holder would be preferred in relevant field (Information management, Computer Science, Business Intelligence, Statistics, Data Science, Actuarial science, etc.)
A fresh graduate with a professional data-related experience in an insurance, healthcare, bank, tech or consulting company is also welcomed.
High level of empathy, integrity, trust and servicing mindset
Good interpersonal and negotiation skills
High level of organisation, self-prioritisation, autonomy and proactivity
Ability to effectively communicate and negotiate across the business
Business fluency in English, and other local language would be a plus 
Technical skills:
Proficient on Excel and good command of remaining MS office suite (PowerPoint, etc.)
Coding knowledge or experience of the following is desirable:
database management (preferably SQL Server),
data engineering skills (at least SQL),
dashboard design / business intelligence (preferably Power BI), and
statistical/machine learning scripting skills (preferably Python).
Theory knowledge or experience of the following is desirable:
Financial analysis and basic accounting (P&L, balance sheet, etc.),
Insurance business acumen (Reserving, Pricing, KPIs, etc.),
Healthcare business acumen (Medical, Wellness, etc.)
Data domains acumen (Engineering, architecture, science, reporting, governance, etc.).
Familiarity with the following is appreciated:
project management tools (Jira, Planner, etc.)
DevOps/Git coding practices
Azure / Cloud architecture
Bupa offers 5 days’ work per week and comprehensive remuneration packages including base salary, study assistance plan, company pension plan, life and medical benefit, dental benefit, annual leave, examination leave, etc.
Bupa is an equal opportunity employer and welcomes applications from qualified candidates. Information provided will be treated in strict confidence and only be used for consideration of application with Bupa.

Personal data collected will be used for recruitment purposes only. Bupa will be in touch for any opportunities that matches your profile. All personal data of unsuccessful application will be destroyed 24 months from the date of receiving the application. Full version of Data Privacy Notice available upon request. ",Entry Level,,http://www.bupa.com.hk,,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, Insurance, Others, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-100003009898262?jobId=jobsdb-hk-job-100003009898262&sectionRank=106&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Trainee -Web / Programmer / Business System Analyst / Data Analyst / System Engineer (Welcome Fresh),salary,Seamatch Asia Limited,2022-12-01,district,"          
IT Trainee - Web / Programmer / Business Analyst / Data Analyst / System or  Engineer (Welcome Fresh)

More experience will be considered as Project Manager, Test Lead and System Analyst        

           (Senior) Web Programmer /Frontend Developer (20K-45K)               
Participate in user requirement collection, prepare functional & technical specifications.
Non-Degree tertiary or above;
Proficient in responsive Web programming such as HTML/ HTML5, CSS/ CSS3, JavaScript, JQuery, PHP, MYSQL, Bootstrap, Reactjs, Nodejs
Fresh graduate is welcome (with training provided)
More experience will be consider as Senior position
System Analyst / Analyst Programmer/ Mobile Developer (20K-70K)
Responsibilities:
Responsible for on-going in-house Web applications and Mobile Apps developments and enhancements
Either experience Java or C#, .NET or mobile (Android/iOS) / AI programming are welcome
Involve in coding, testing, UAT
Provide business applications support for the programming system
Requirements:
Degree in Electronics, Computer, Information Engineering or equivalent
Interest on programming
Internship or school project on coding is advantage
Fresh graduates are welcome 
More experience also consider as Senior position (upto 30K-70K) 
Business Analyst/ Project Manager (Fresh welcome as Junior Business Analyst)
Responsibilities
Participate in business and systems projects and ensure quality delivery of the systems
Lead requirements gathering, analysis and prepare user requirement specifications in accordance with business needs
Manage requirements throughout project life cycles
Prepare test plan and participate in quality assurance testing cycles
Conduct SIT to ensure the enhanced systems meet the requirement specifications
Support UAT, prepare user manual and conduct training
Assist project team members with the development of project documentation
Co-ordinate with users of different areas , investigate & resolve issues and concerns raised by users
Degree holder with good interpersonal, verbal and written communication skills as well as relevant experience / working knowledge 
More experience will be considered as Project Manager 
(Senior) Data Analysts/ Trainee Analysts

Responsibilities:
Agile team collaboration in continual development of Company's big data analytics platform and existing data governance frameworks
Data analysis, data discovery and metadata management for business intelligence (BI), quantitative modeling, machine learning and predictive analytics projects
Data warehousing, data mining and extract/transform/load (ETL) integration in cloud and on-premise environments
Data visualization, BI reporting, data dashboard design & development
Requirements:
Degree holder in IT and data sciences related subjects
Technical experience in data analytics, business intelligence (BI), data warehousing, or related functional areas
Good knowledge of major data programming languages and analytic tools such as Python, Hadoop, Tableau, MS SQL, Oracle RDBMS, PL SQL, Azure Cloud, Microsoft Power BI, Excel Power Query, Google Analytics, Google Data Studio highly preferred
Fluent Chinese and English communication with local team members
Less experience or Fresh will also consider for junior post
System Support / Network Engineer / IT Support 
(Fresh Graduate welcome as Junior with on job training)

More experience will be considered as Senior Position
Job Description
 Provide either one of IT operations support / system support / network support depends on experience and knowledge / skill
Either System / network equipment support 
System/application troubleshooting
Hardware / software / End users support
Higher Diploma / Degree holder in Computer Science or related discipline
1 year above working experience in system or network support (candidate with more experience will be considered as senior role and welcome to fresh graduate with interim work experience)
Prefer Hands-on experience either in installation/configuration of VLAN, Clustering and Linux Red Hat ES / or Network equipment support ",,,,,Full Time,"Information Technology (IT), Product Management / Business Analyst, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/trainee-web-programmer-business-system-analyst-data-analyst-system-engineer-welcome-fresh-100003009900899?jobId=jobsdb-hk-job-100003009900899&sectionRank=107&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Cloud/Solution Consultant (Presale) – Cloud Infrastructure,salary,Macroview Telecom Limited,2022-12-01,Tsing Yi,"Description
Provide the IT solutions on multiple public cloud platforms (AWS, Azure & Alicloud) and private cloud for commercial & enterprise applications
Participate in presentation, demonstration and documentation on Datacenter and Security solutions
Join customer meetings and solution events
As a technical leader to coach junior colleagues
Working as a team
Requirements
HD / Degree holders in IT related disciplines
More than 4 years in presale experience
Solid knowledge in Server, Storage, Virtualization, Backup, HCI and Cloud
Knowledge of Infrastructure Automation is preferred
Good command of both written and spoken English
Good interpersonal and problem-solving skills
Good communication skills

We offer competitive salary package and career development opportunity. Free company coach is provided.  Interested parties, please quote our reference number and apply with full resume, present and expected salary, by clicking “APPLY NOW”. 

All information collected will be used for recruitment purpose only.

To learn more, please visit Macroview’s website at: www.macroview.com",Senior,4 years,,Degree,"Full Time, Permanent","Information Technology (IT), Software Development, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/cloud-solution-consultant-presale-cloud-infrastructure-100003009900880?jobId=jobsdb-hk-job-100003009900880&sectionRank=108&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
"AVP, Data Analytics (ML exposure) - Bank",salary,Robert Walters (HK),2022-11-30,Central & Western Area,"A well-known bank is now hiring a Data guru with good business sense for their projects related to digitalization journey and responsible for the design, development and deployment of the analysis together with the data scientists and data engineers.
Responsibility
Understand business drivers and priorities. Identify opportunities where analytics can create significant value.
Explore data sources and conduct exploratory data analysis. Identify data which is relevant to the problems to solve. Create features to make them valuable for analytics.
Translate business problems / opportunities into tangible analytics requirements and recommend potential solutions.
Serve as the bridge between product owners and data scientists to experiment, develop, test and roll out data-driven solutions
Collaborate with stakeholders to propose and evaluate actions for performance improvements.
Conduct research, analyze, and articulate meaningful insights using data to accelerate business growth.
Develop business analytics capability in line with use cases identified
Build visualization and dashboards to bring analytics result alive for communicating to stakeholders.
Collaborate with data scientists and data engineers to develop data science solutions, ranging from on-demand queries to machine learning models, for business growth, productivity gain and risk mitigation.
Manage end-to-end solution delivery and stakeholders
Requirement
Degree in Business Analytics, Mathematics, Statistics, Computer Science, Information Engineering, or related disciplines.
6 years or above of experience in data analytics
Ability to navigate in a complex environment to drive outcome with stakeholders
Ability to clearly articulating data deliverables in a manner easily understood in oral and written format
Strong management and communication skills
Passionate in new technologies and eager to learn attitude.
Proficient in English and Chinese
Experience in banking data is a plus
Functional / technical competencies:
Strong business analysis skills
Knowledge or experience in techniques like predictive, prescriptive and machine learning
Working knowledge in data wrangling in Python to perform analysis independently
Working knowledge in building visualization including dashboards. Experience in Qlikview / Qlik Sense is a plus
Experience in cloud computing (e.g. Cloudera, AWS) and big data computation framework (e.g. Spark, Hive) is a plus",Senior,N/A,http://www.robertwalters.com.hk,Degree,"Full Time, Temporary","Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/avp-data-analytics-ml-exposure-bank-100003009900347?jobId=jobsdb-hk-job-100003009900347&sectionRank=109&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Data Analyst / Assistant Data Analyst / Associate Data Analyst,salary,Bank of China (Hong Kong) Limited,2022-11-30,Shatin Area,"Responsibilities:
Coordinate with business units to implement data accountability
Formulate and maintain data standards and data specifications
Enhance metadata management process and provide support for data dictionary enhancement
Monitor data quality and conduct root cause analysis on data quality issues
Support external data management for data sharing
Review and update data management policies and procedures regularly 
Conduct assessment and analysis on data governance maturity for follow-up planning and execution
Drive changes on data management workflows and processes
Conduct research for regulatory requirements and best market practices of data governance
Support all other data management tasks as assigned
Requirements:
Degree or above, Preferably with Certified Data Management Professional (CDMP) Practitioner Certificate and Tableau Desktop Specialist Certification
2 years or above working experience in information technology or data management in the banking or other industries. 
Actively learn new ideas, new models, new technologies and new systems
Strong analytical capabilities with logical and creative thinking mindset
Good writing and communication skills in both Chinese (including Putonghua) and English; highly-skilled in SQL, familiar with Microsoft Office
Possess strong analytical capabilities
Supportive to change management
Good interpersonal relationship and communication skill with team spirit",Middle,3 years,,Degree,Full Time,"Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-assistant-data-analyst-associate-data-analyst-100003009900174?jobId=jobsdb-hk-job-100003009900174&sectionRank=110&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Database Administrator,salary,AsiaPay (HK) Ltd,2022-12-01,North Point,"Job Description
Perform database design and architecture work, perform installation, upgrade, configuration, administration, maintenance and support, for Oracle, MySQL and other databases, cater for DR site
Perform database operation including backup and restoration, troubleshooting and SQL performance tuning, monitor usage and carry out capacity planning
Perform server upgrade and migration, including migration to cloud
Perform database security set up, do vulnerability assessment and test
Create shell scripts for automation of database utility tasks, set up monitoring tools
Collaborate with application team
Prepare system and technical documentation
Provide 24 x 7 production support
Keep abreast of the latest data management trends and technologies
Job Requirement 
Degree or above in Information Technologies, Computer Science or industry related disciplines
Minimum 5 years of experience in Oracle database administration
Solid experience in large scale database design, installation, configuration, backup & recovery, analyzing performance bottleneck and carry out tuning and monitoring
Solid experience in Linux and Windows platforms
Proficient in Oracle RAC and Data Guard
Knowledge in MSSQL, MySQL is a plus
Holder of OCA/OCP certification is preferred
Good command of written and spoken English and Chinese",Middle,5 years,http://www.asiapay.com,Degree,"Full Time, Permanent","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/database-administrator-100003009900699?jobId=jobsdb-hk-job-100003009900699&sectionRank=111&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
Senior Marketing Analyst / Marketing Analyst,salary,Global Sources,2022-12-01,Aberdeen,"Job Objective:
Work closely with Global Sources' marketing team and business analytics team to identify marketing effectiveness of various marketing channels
Prepare and provide in-depth quantitative analysis & reports
Main Duties & Responsibilities:
Prepare and present articulate reports based on vast amount of data from various data sources (e.g. data warehouse, digital tracking tools).
Drive in-depth quantitative analysis including customer segmentation and  assist the Manager to present business insights to management.
Drive and support certain data analysis and database management projects on buyer community development
Assist in marketing planning, facilitate tracking of digital/offline channel effectiveness, set performance KPIs, track and evaluate marketing performance
Handle variety of data sets (from internal and external) and assist in data collection and data massaging
Maintain the data integrity and accuracy in marketing planning, implementation and reporting.
Support ad-hoc marketing data requirements.
Requirements:
Bachelor’s degree majored in Marketing, Statistics, Quantitative Analysis, Data Science, or other related fields
At least 3-5 years of concrete experience in data analysis
B2B marketing or customer segmentation management experience preferred, but not essential.
Ability to understand, maintain and compose database query scripts
Strong skills in planning and organization, project management and prioritization
Ability to think and work with data to draw insights and analysis
Solid knowledge with SQL, Excel.
Familiarity with various analytic tools such as Power BI, MicroStrategy and Tableau are a plus.
Proficiency in Cantonese, Mandarin & English.
Proactive, willing to take up challenges and strong problem-solving skill
Hard-working and can-do attitude
Candidate with less experience would be considered as Marketing Analyst.

Interested parties please submit resume with current & expected salary by email.
(Personal data collected will be used for recruitment purpose only.)",,3 years,http://www.globalsources.com,Degree,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, E-commerce, Product Management / Business Analyst, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-marketing-analyst-marketing-analyst-100003009902571?jobId=jobsdb-hk-job-100003009902571&sectionRank=112&token=0~572ae175-5c10-491b-bacf-e4f953325101&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F4
