year,category,nominee,movie,winner,id
2010,actor in a leading role,Jeff Bridges,True Grit,False,708
2002,actress in a leading role,Diane Lane,Unfaithful,False,327
2009,actress in a supporting role,Anna Kendrick,Up in the Air,False,65
2009,actor in a leading role,George Clooney,Up in the Air,False,478
2009,actress in a supporting role,Vera Farmiga,Up in the Air,False,1482
2006,actor in a leading role,Peter O'Toole,Venus,False,1201
2004,actress in a leading role,Imelda Staunton,Vera Drake,False,586
2008,actress in a supporting role,Pen_lope Cruz,Vicky Cristina Barcelona,True,1184
2006,actress in a leading role,Pen_lope Cruz,Volver,False,1183
2005,actor in a leading role,Joaquin Phoenix,Walk the Line,False,758
2005,actress in a leading role,Reese Witherspoon,Walk the Line,True,1229
2011,actor in a supporting role,Nick Nolte,Warrior,False,1130
2003,actress in a leading role,Keisha Castle-Hughes,Whale Rider,False,876
2010,actress in a leading role,Jennifer Lawrence,Winter's Bone,False,717
2010,actor in a supporting role,John Hawkes,Winter's Bone,False,776
2000,actress in a leading role,Laura Linney,You Can Count on Me,False,897
2012,actress in a leading role,Jessica Chastain,Zero Dark Thirty,False,725
1952,actress in a supporting role,Colette Marchand,Moulin Rouge,False,271
1952,actor,Jos_ Ferrer,Moulin Rouge,False,802
1969,actor,John Wayne,True Grit,True,791
