serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAZLJWCPK,2018-01-16,CAFE SEOUL NANDARANG,95,A,1,ROUTINE INSPECTION,EE0000869,3815 W 6TH ST,LOS ANGELES,FA0006953,CA,90020,OW0016238,HONG EUN CHONG INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CAFE SEOUL NANDARANG,ACTIVE,PR0020642
DACACY9JC,2016-06-08,FRATERNAL ORDER OF EAGLES,93,A,1,ROUTINE INSPECTION,EE0000953,13018 W WASHINGTON BLVD,LOS ANGELES,FA0001155,CA,90066,OW0012318,FRATERNAL ORDER OF EAGLES,RESTAURANT (61-150) SEATS MODERATE RISK,1637,FRATERNAL ORDER OF EAGLES,ACTIVE,PR0025338
DAOHLT1WF,2017-08-17,ADMIRALS CLUB,98,A,1,ROUTINE INSPECTION,EE0000122,400 WORLD WAY,LOS ANGELES,FA0004930,CA,90045,OW0125020,"AMERICAN AIRLINES, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,ADMIRALS CLUB BUSINESS KITCHEN,ACTIVE,PR0024054
DA8DAT5G0,2017-12-08,SALLY'S SNACK SHOP,93,A,1,ROUTINE INSPECTION,EE0000721,228 W 6TH ST,LOS ANGELES,FA0046716,CA,90014,OW0023330,"MARGOSSIAN, KARMEN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SALLY'S SNACK SHOP,ACTIVE,PR0037435
DAKIPC9UB,2016-06-16,LA PETITE BOULANGERIE,86,B,1,ROUTINE INSPECTION,EE0000721,330 S HOPE ST,LOS ANGELES,FA0180531,CA,90071,OW0185889,MARCO INVESTMENT CORP.,RESTAURANT (31-60) SEATS MODERATE RISK,1634,LA PETITE BOULANGERIE,INACTIVE,PR0174307
DAGDXJ32I,2015-09-14,TROPICANA JUICE BAR & DELI,90,A,1,ROUTINE INSPECTION,EE0000923,5202 MONTE VISTA ST,LOS ANGELES,FA0033725,CA,90042,OW0020496,LA TROPICANA MARKET INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA TROPOCANA JUICE BAR/DELI,ACTIVE,PR0048308
DAMSHMCC7,2016-01-27,B SWEET DESSERT BAR,98,A,1,ROUTINE INSPECTION,EE0000684,2005 S SAWTELLE BLVD,LOS ANGELES,FA0160908,CA,90025-6229,OW0125842,B SWEET LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,B SWEET DESSERT BAR,ACTIVE,PR0149002
DADTCJC3M,2016-12-06,CHA CHA CHILI,80,B,1,ROUTINE INSPECTION,EE0000740,4625 E VALLEY BLVD,LOS ANGELES,FA0008243,CA,90032,OW0006829,CHA GAVIN,RESTAURANT (31-60) SEATS HIGH RISK,1635,CHA CHA CHILI,ACTIVE,PR0038243
DACE12KGP,2016-05-04,NORTHGATE MARKETS #38,93,A,1,ROUTINE INSPECTION,EE0001025,944 E SLAUSON AVE,LOS ANGELES,FA0167720,CA,90011,OW0026268,NORTHGATE GONZALEZ LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,NORTHGATE MARKETS #38 (TORTILLERIA),ACTIVE,PR0158101
DAPJIWLWW,2017-04-19,SPARE TIRE,93,A,1,ROUTINE INSPECTION,EE0000853,5368 WILSHIRE BLVD,LOS ANGELES,FA0012783,CA,90036,OW0035707,THE RED MILE INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,SPARE TIRE,ACTIVE,PR0016180
DASJSBQ00,2017-02-02,CJ COFFEE SHOP,91,A,1,ROUTINE INSPECTION,EE0000871,5501 W PICO BLVD,LOS ANGELES,FA0015649,CA,90019,OW0008176,"CISNEROS, JESSICA",RESTAURANT (31-60) SEATS HIGH RISK,1635,CJ COFFEE SHOP,ACTIVE,PR0009705
DAVPOIW1N,2016-12-09,OLEEGO,95,A,1,ROUTINE INSPECTION,EE0000360,639 N BROADWAY # G,LOS ANGELES,FA0178307,CA,90012,OW0184081,PARK'S BBQ EXPRESS INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,OLEEGO,ACTIVE,PR0171430
DABMGDIKN,2015-07-06,MAGEE'S KITCHEN,93,A,1,ROUTINE INSPECTION,EE0000468,6333 3RD ST,LOS ANGELES,FA0001320,CA,90036,OW0022850,"MAGEE,S B AND P H ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAGEE'S KITCHEN,ACTIVE,PR0004406
DA5EN4LEK,2017-04-10,JACK IN THE BOX #3377,95,A,1,ROUTINE INSPECTION,EE0000723,1906 S CRENSHAW BLVD,LOS ANGELES,FA0064110,CA,90016,OW0017276,"JACK IN THE BOX, INC",RESTAURANT (61-150) SEATS MODERATE RISK,1637,JACK IN THE BOX #3377,ACTIVE,PR0042638
DAH08SUQB,2016-01-13,CARNITAS URUAPAN - MARKET & BAKERY,92,A,1,ROUTINE INSPECTION,EE0000740,2102 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0158671,CA,90033,OW0123723,THE DRAWDE TOWER CORPORATION,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,CARNITAS URUAPAN MARKET AND BAKERY,INACTIVE,PR0146749
DAB7P1MJS,2017-03-29,NUEVO JALISCO BAR,95,A,1,ROUTINE INSPECTION,EE0000721,245 S MAIN ST,LOS ANGELES,FA0067736,CA,90012,OW0012742,GARCIA MARIA J,RESTAURANT (31-60) SEATS LOW RISK,1633,NUEVO JALISCO BAR,ACTIVE,PR0039140
DAESGBIPX,2017-04-20,TACO HOUSE,91,A,1,ROUTINE INSPECTION,EE0000721,340 S HILL ST,LOS ANGELES,FA0050831,CA,90013,OW0025036,"MORALES, JORGE MARIO",RESTAURANT (31-60) SEATS HIGH RISK,1635,TACO HOUSE,ACTIVE,PR0028543
DAJMARFHH,2017-05-25,TACOS EL UNICO,94,A,1,ROUTINE INSPECTION,EE0000594,1375 W ADAMS BLVD,LOS ANGELES,FA0050333,CA,90007,OW0037050,V&E RESTAURANTS INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS EL UNICO,ACTIVE,PR0036953
DALI1WJOE,2018-03-01,EDENDALE,95,A,1,ROUTINE INSPECTION,EE0000923,2838 ROWENA AVE,LOS ANGELES,FA0020151,CA,90039,OW0018812,"KEY OF E, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EDENDALE,ACTIVE,PR0011927
DAOGM0MYM,2016-01-08,MARIE CALLENDER'S RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000144,11324 NATIONAL BLVD,LOS ANGELES,FA0066403,CA,90064,OW0008964,COX-KALMBACH ENTERPRISES INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,MARIE CALLENDER RESTAURANT,ACTIVE,PR0004524
DAUUSBADM,2017-05-18,WA SSADA ON DAL JAPANESE RES,90,A,1,ROUTINE INSPECTION,EE0000722,377 N WESTERN AVE,LOS ANGELES,FA0054071,CA,90004,OW0026778,ON DAL JAPANESE REST INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,WA SSADA ON DAL JAPANESE RES,ACTIVE,PR0001720
DATF8L9OX,2015-11-03,EVO KITCHEN,92,A,1,ROUTINE INSPECTION,EE0000838,7950 W SUNSET BLVD STE 104,LOS ANGELES,FA0022433,CA,90046,OW0018637,KCM CAPITAL LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,EVO KITCHEN,ACTIVE,PR0039131
DAG0IZ1XU,2017-02-28,GUISADOS,92,A,1,ROUTINE INSPECTION,EE0000740,2100 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0027210,CA,90033,OW0009565,"DE LA TORRE, ARMANDO DANIEL",RESTAURANT (0-30) SEATS HIGH RISK,1632,GUISADOS,ACTIVE,PR0021598
DAM04QH0M,2017-12-15,FLORES DISCOUNT MARKET,93,A,1,ROUTINE INSPECTION,EE0000691,7922 S CENTRAL AVE,LOS ANGELES,FA0013817,CA,90001,OW0012043,"FLORES, ELPIDIO","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,FLORES DISCOUNT MARKET,ACTIVE,PR0007247
DA3QCCHQ0,2017-07-24,7-ELEVEN #18821-B,90,A,1,ROUTINE INSPECTION,EE0000338,11075 OLYMPIC BLVD,LOS ANGELES,FA0172337,CA,90064,OW0179367,STEVEN KYUIN SHIM,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,7-ELEVEN #18821-B,ACTIVE,PR0164882
DA0DV2BTI,2016-07-20,CONCERT HALL CAFE,99,A,1,ROUTINE INSPECTION,EE0000721,111 S GRAND AVE # #950,LOS ANGELES,FA0060206,CA,90012,OW0035686,THE PATINA GROUP NEWCO LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,CONCERT LOBBY BAR LEVEL 3,ACTIVE,PR0028415
DA0KUBBF6,2015-08-13,ANTOJITOS LISETH,90,A,1,ROUTINE INSPECTION,EE0000699,3324 W 6TH ST STE E1,LOS ANGELES,FA0006875,CA,90020,OW0010254,"DOMINGUEZ, ELIZABETH",RESTAURANT (0-30) SEATS HIGH RISK,1632,ANTOJITOS LISETH,INACTIVE,PR0030175
DAO2EELKI,2015-12-01,KELLY'S COFFEE,93,A,1,ROUTINE INSPECTION,EE0001004,5701 S EASTERN AVE,LOS ANGELES,FA0031879,CA,90040,OW0005302,BRITUL CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,KELLY'S COFFEE,ACTIVE,PR0033431
DA1FRI7RD,2016-03-31,RALPHS MARKET #759,92,A,1,ROUTINE INSPECTION,EE0000911,10861 WEYBURN AVE,LOS ANGELES,FA0045717,CA,90024,OW0029458,RALPHS GROCERY COMPANY,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,MEAT MARKET,ACTIVE,PR0004729
DANAIYCBV,2016-06-23,THE OPRHEUM THEATRE,96,A,1,ROUTINE INSPECTION,EE0000721,842 S BROADWAY,LOS ANGELES,FA0072400,CA,90014,OW0002770,ANJAC FASHION BLDGS,RESTAURANT (151 + ) SEATS LOW RISK,1639,THE OPRHEUM THEATER,ACTIVE,PR0035104
DAL5OI5DB,2016-07-26,JONS MARKET,95,A,1,ROUTINE INSPECTION,EE0000912,5311 SANTA MONICA BLVD,LOS ANGELES,FA0019185,CA,90029,OW0004431,BERBERIAN ENTERPRISES,RESTAURANT (0-30) SEATS HIGH RISK,1632,JON'S SERVICE DELI,ACTIVE,PR0013277
DA0ADUWM0,2018-03-02,SAN MARCOS TORTILLERIA,97,A,1,ROUTINE INSPECTION,EE0000255,1929 E 1ST ST,LOS ANGELES,FA0143498,CA,90033-3412,OW0106596,"GARCIA,GREGORIO ALBARADO","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,SAN MARCOS TORTILLERIA,ACTIVE,PR0126952
DAKYQHFDV,2016-08-09,MIKE'S DELI #2,94,A,1,ROUTINE INSPECTION,EE0001058,238 E 1ST ST,LOS ANGELES,FA0066945,CA,90012,OW0024459,MIKE'S DELI INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MIKE'S DELI #2,INACTIVE,PR0030530
DACARECO0,2016-11-07,"KIM'S MANNA FISH & CHIP, INC",97,A,1,ROUTINE INSPECTION,EE0000195,10707 S AVALON BLVD,LOS ANGELES,FA0163503,CA,90061-2521,OW0127107,"KIM'S MANNA FISH & CHIP, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,KIM'S MANNA FISH & CHIPS,ACTIVE,PR0151726
DACAHD6VE,2017-12-27,RENAISSANCE 96TH STREET BISTRO,99,A,1,ROUTINE INSPECTION,EE0000955,9620 AIRPORT BLVD,LOS ANGELES,FA0046199,CA,90045,OW0039321,WSRH LAX AIRPORT LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,RENAISSANCE BANQUET,ACTIVE,PR0025069
DA9LVNQKG,2016-02-24,EMMANUEL MINI MARKET,99,A,1,ROUTINE INSPECTION,EE0001026,4433 S ALAMEDA ST # B-14,LOS ANGELES,FA0203204,CA,90058-2008,OW0208422,ANTONIA M RIOS GUZMAN,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,EMMANUEL MINI MARKET,ACTIVE,PR0175547
DACT0IRRJ,2017-11-18,DAILY DONUT,97,A,1,ROUTINE INSPECTION,EE0001073,8524 SAN PEDRO ST,LOS ANGELES,FA0160834,CA,90003,OW0125772,HANG DY YEK,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DAILY DONUT,ACTIVE,PR0148920
DA5KYXXZ8,2016-03-22,ORIENTAL HEALTH SOUP,90,A,1,ROUTINE INSPECTION,EE0001003,4319 W 2ND ST,LOS ANGELES,FA0042646,CA,90004,OW0003878,"BANG, TYAE S",RESTAURANT (0-30) SEATS LOW RISK,1630,ORIENTAL HEALTH SOUP,ACTIVE,PR0008161
DAKLDXKJD,2017-08-29,KIM CHUY RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000360,727 N BROADWAY STE 103,LOS ANGELES,FA0064798,CA,90012,OW0006903,"CHALIM,VOUCH ENG",RESTAURANT (61-150) SEATS HIGH RISK,1638,KIM CHUY RESTAURANT,ACTIVE,PR0004286
DAIHM2FDV,2016-04-21,CHIPOTLE  MEXICAN GRILL,95,A,1,ROUTINE INSPECTION,EE0000468,8420 BEVERLY BLVD,LOS ANGELES,FA0222394,CA,90048-3402,OW0007608,"CHIPOTLE MEXICAN GRILL, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,CHIPOTLE  MEXICAN GRILL,ACTIVE,PR0177398
DA328EV7T,2017-06-13,NOODLES TIME,91,A,1,ROUTINE INSPECTION,EE0000360,211 ALPINE ST # 7A,LOS ANGELES,FA0240105,CA,90012-4296,OW0236266,PREECHA THUAKTHAO,RESTAURANT (0-30) SEATS HIGH RISK,1632,NOODLES TIME,ACTIVE,PR0188111
DA3V3TL12,2017-02-16,LUCKY STATION,95,A,1,ROUTINE INSPECTION,EE0000721,444 S FLOWER ST STE 130,LOS ANGELES,FA0023055,CA,90071,OW0032633,SHIN SHALLY C.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LUCKY STATION,ACTIVE,PR0016063
DANBPCSWD,2016-01-12,THE COFFEE BEAN & TEA LEAF,96,A,1,ROUTINE INSPECTION,EE0000874,3726 S FIGUEROA ST,LOS ANGELES,FA0060046,CA,90007,OW0017025,INTERNATIONAL COFFEE & TEA LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,COFFEE BEAN & TEA LEAF,ACTIVE,PR0031631
DAJLYARZS,2015-08-05,OASISTKOS,92,A,1,ROUTINE INSPECTION,EE0000006,2201 W 54TH ST,LOS ANGELES,FA0164863,CA,90043,OW0128172,FERNANDO HERNANDEZ,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,OASISTKOS,ACTIVE,PR0153146
DA17GGGZA,2015-10-15,LA CONVENTION CENTER,95,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,LA CONVENTION CENTER GALAXY RESTAURANT - LACC,ACTIVE,PR0143275
DA1FS3GZU,2017-09-06,OCEAN GROCERY MARKET,96,A,1,ROUTINE INSPECTION,EE0000997,2632 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0245518,CA,90033-3006,OW0240557,GAZI SINCERE SERVICE LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,OCEAN GROCERY MARKET,ACTIVE,PR0193880
DAH9FUPBP,2017-01-31,NISSI BAKERY,90,A,1,ROUTINE INSPECTION,EE0001006,1900 BEVERLY BLVD # A,LOS ANGELES,FA0166417,CA,90057,OW0129565,PEDRO MARCELINO,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NISSI BAKERY,INACTIVE,PR0156731
DAZQG8ANX,2017-06-02,AMIGOS,94,A,1,ROUTINE INSPECTION,EE0000923,5611 N FIGUEROA ST STE 3,LOS ANGELES,FA0245828,CA,90042,OW0240809,MOHAMMED ALI,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,AMIGOS,ACTIVE,PR0194209
DA0U3GJSU,2017-10-30,EXCELLENT THAI CAFE,96,A,1,ROUTINE INSPECTION,EE0000721,1220 W 7TH ST,LOS ANGELES,FA0226209,CA,90017,OW0230377,PRAMOCH MUNGLAD,RESTAURANT (0-30) SEATS HIGH RISK,1632,EXCELLENT THAI CAFE,ACTIVE,PR0181529
DAERHLUYY,2015-07-28,GUI IL BUNJI,75,C,1,ROUTINE INSPECTION,EE0000946,3055 W 7TH ST STE C,LOS ANGELES,FA0016000,CA,90006,OW0025575,"NAM, KWANG B",RESTAURANT (61-150) SEATS HIGH RISK,1638,GUI IL BUNJI,INACTIVE,PR0006335
DAWXW7YJO,2017-03-28,LORENA PHARMACY,100,A,1,ROUTINE INSPECTION,EE0000997,3400 WHITTIER BLVD,LOS ANGELES,FA0022418,CA,90023,OW0003837,"BALL,DUDLEY & DONALD & ROGER","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LORENA PHARMACY,ACTIVE,PR0030547
DAEQKPKDU,2016-05-31,LAGUNA MARKET - MEAT DEPT.,92,A,1,ROUTINE INSPECTION,EE0001006,2125 W 6TH ST,LOS ANGELES,FA0035200,CA,90057,OW0020331,LA CEIBA INC.,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,LAGUNA MARKET - MEAT DEPT.,ACTIVE,PR0031377
DAPQN3ROT,2017-06-27,SWEETGREEN,92,A,1,ROUTINE INSPECTION,EE0000727,11677 SAN VICENTE BLVD,LOS ANGELES,FA0244058,CA,90049,OW0180844,"SWEET GREEN LA, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,SWEETGREEN,ACTIVE,PR0192324
DA6RA0YMJ,2015-11-04,SIMPLE,85,B,1,ROUTINE INSPECTION,EE0000531,3208 W 8TH ST,LOS ANGELES,FA0048564,CA,90005,OW0017622,"JIA ZEN, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,SIMPLE,ACTIVE,PR0006446
DATX8GDUU,2017-08-30,BYBLOS,93,A,1,ROUTINE INSPECTION,EE0000924,1964 WESTWOOD BLVD STE #100,LOS ANGELES,FA0011492,CA,90025,OW0039141,WONDER NIGHT LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,BYBLOS,ACTIVE,PR0031038
DAAX12HOH,2017-08-22,ALL ABOUT THE BREAD,94,A,1,ROUTINE INSPECTION,EE0000951,7111 MELROSE AVE # C,LOS ANGELES,FA0003321,CA,90046,OW0001179,7111 MELROSE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,ALL ABOUT THE BREAD,ACTIVE,PR0011336
